artists_id,Track,Album,Genres,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,release_year
36QJpDe2go2KgaRleHCDTp,Babe I'm Gonna Leave You,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",402761,4,0.411,0.466,4,-11.537,0,0.0332,0.375,0.0000847,0.142,0.158,136.093,47,1969
36QJpDe2go2KgaRleHCDTp,Black Mountain Side,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",132587,4,0.652,0.44,6,-10.584,1,0.0392,0.687,0.9,0.122,0.701,116.053,39,1969
36QJpDe2go2KgaRleHCDTp,Communication Breakdown,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",150201,4,0.375,0.956,2,-7.078,1,0.175,0.144,0.0000076,0.417,0.381,175.04,47,1969
36QJpDe2go2KgaRleHCDTp,Dazed and Confused,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",388667,4,0.24,0.546,2,-10.026,1,0.0548,0.0898,0.00648,0.0898,0.429,181.373,47,1969
36QJpDe2go2KgaRleHCDTp,Good Times Bad Times,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",166107,4,0.445,0.703,9,-9.783,1,0.0859,0.0828,0.00000273,0.0782,0.633,93.199,47,1969
36QJpDe2go2KgaRleHCDTp,How Many More Times,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",507749,4,0.316,0.774,9,-9.771,1,0.0727,0.216,0.00252,0.394,0.439,144.129,43,1969
36QJpDe2go2KgaRleHCDTp,I Can't Quit You Baby,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",282721,3,0.529,0.452,2,-12.593,1,0.136,0.534,0.000151,0.301,0.539,78.196,43,1969
36QJpDe2go2KgaRleHCDTp,You Shook Me,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",388467,3,0.366,0.56,11,-10.361,0,0.0633,0.647,0.00703,0.18,0.361,155.42,42,1969
36QJpDe2go2KgaRleHCDTp,Your Time Is Gonna Come,Led Zeppelin,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",274694,4,0.328,0.575,7,-10.437,1,0.0439,0.351,0.000556,0.688,0.249,149.645,49,1969
36QJpDe2go2KgaRleHCDTp,Bring It on Home,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",259741,4,0.345,0.461,9,-12.063,1,0.0645,0.479,0.0184,0.0993,0.171,96.346,50,1969
36QJpDe2go2KgaRleHCDTp,Heartbreaker,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",254068,4,0.381,0.734,2,-8.917,1,0.0933,0.0797,0.0469,0.173,0.565,96.614,47,1969
36QJpDe2go2KgaRleHCDTp,Living Loving Maid (She's Just a Woman),Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",159301,4,0.475,0.808,9,-8.859,1,0.037,0.000942,0.00000797,0.146,0.896,152.098,55,1969
36QJpDe2go2KgaRleHCDTp,Moby Dick,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",260914,4,0.461,0.41,7,-18.441,1,0.0623,0.0945,0.9,0.551,0.375,100.335,42,1969
36QJpDe2go2KgaRleHCDTp,Ramble On,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",274010,4,0.456,0.549,4,-13.111,1,0.0343,0.186,0.00227,0.0877,0.834,98.583,47,1969
36QJpDe2go2KgaRleHCDTp,Thank You,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",289485,4,0.292,0.306,7,-13.158,1,0.0547,0.184,0.0046,0.144,0.131,79.406,44,1969
36QJpDe2go2KgaRleHCDTp,The Lemon Song,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",379389,4,0.409,0.545,2,-11.314,1,0.0835,0.0581,0.00597,0.152,0.686,90.536,45,1969
36QJpDe2go2KgaRleHCDTp,What Is and What Should Never Be,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",286231,4,0.353,0.593,9,-9.675,1,0.0457,0.311,0,0.0685,0.488,82.56,46,1969
36QJpDe2go2KgaRleHCDTp,Whole Lotta Love,Led Zeppelin II,"[‘rock', 'alternative rock', 'modern rock', ‘hard rock’, 'alternative metal’, ‘blues’]",334555,4,0.401,0.893,9,-11.171,1,0.437,0.0617,0.0391,0.164,0.406,87.979,48,1969
