artists_name,name,genres,release_year,popularity
John Denver,"Take Me Home, Country Roads - Rerecorded",folk,1997.0,80.0
America,A Horse with No Name,folk,1972.0,78.0
Buffalo Springfield,For What It's Worth,folk,1966.0,76.0
Paul Simon,You Can Call Me Al,folk,1986.0,76.0
Carly Simon,You're so Vain,folk,1972.0,76.0
Bob Dylan,Knockin' On Heaven's Door - Remastered,folk,1973.0,74.0
James Taylor,Fire and Rain,folk,1970.0,73.0
Bob Dylan,Like a Rolling Stone,folk,1965.0,72.0
Seals and Crofts,Summer Breeze,folk,1972.0,71.0
Paul Simon,Me and Julio Down by the Schoolyard,folk,1972.0,71.0
Joni Mitchell,Big Yellow Taxi,folk,1970.0,70.0
Bob Dylan,The Times They Are A-Changin',folk,1964.0,70.0
America,Ventura Highway,folk,1972.0,70.0
Bread,Everything I Own,folk,1972.0,69.0
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),folk,1965.0,69.0
Paul Simon,50 Ways to Leave Your Lover,folk,1975.0,69.0
Jackson Browne,Running on Empty,folk,1977.0,69.0
Gerry Rafferty,Baker Street,folk,1978.0,68.0
Van Morrison,Have I Told You Lately,folk,1989.0,68.0
"Crosby, Stills & Nash",Helplessly Hoping,folk,1969.0,68.0
James Taylor,Carolina in My Mind,folk,1976.0,67.0
Joni Mitchell,A Case of You,folk,1971.0,67.0
Carole King,It's Too Late,folk,1971.0,67.0
America,Sister Golden Hair,folk,1975.0,67.0
Carole King,I Feel the Earth Move,folk,1971.0,67.0
"Crosby, Stills, Nash & Young",Our House,folk,1970.0,67.0
James Taylor,You've Got a Friend,folk,1971.0,67.0
Gerry Rafferty,Right Down the Line,folk,1978.0,67.0
John Denver,Annie's Song,folk,1974.0,66.0
Leonard Cohen,Suzanne,folk,1967.0,66.0
Carole King,You've Got a Friend,folk,1971.0,66.0
"Crosby, Stills & Nash",Suite: Judy Blue Eyes - Remastered,folk,1969.0,66.0
Bob Dylan,Mr. Tambourine Man,folk,1965.0,65.0
Pretenders,Don't Get Me Wrong - 2007 Remastered Version,folk,1986.0,65.0
Leonard Cohen,Hallelujah,folk,1984.0,65.0
Harry Chapin,Cat's in the Cradle,folk,1974.0,65.0
The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,folk,1971.0,64.0
Paul Simon,Graceland,folk,1986.0,64.0
Carole King,Bitter With The Sweet,folk,1968.0,64.0
Joni Mitchell,California,folk,1971.0,64.0
