artists_name,name,genres,release_year,popularity
The Rolling Stones,"Paint It, Black",rock,1966.0,80.0
The Rolling Stones,Gimme Shelter,rock,1969.0,76.0
The Rolling Stones,Start Me Up - Remastered 2009,rock,1981.0,76.0
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,rock,1965.0,76.0
The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,rock,1968.0,73.0
The Rolling Stones,Beast Of Burden - Remastered 1994,rock,1978.0,72.0
The Rolling Stones,Angie,rock,1973.0,71.0
The Rolling Stones,Wild Horses - 2009 Mix,rock,1971.0,69.0
The Rolling Stones,Miss You - Remastered,rock,1978.0,69.0
The Rolling Stones,You Can't Always Get What You Want,rock,1969.0,67.0
The Rolling Stones,Brown Sugar - 2009 Remaster,rock,1971.0,66.0
